# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jul 12 02:35:08 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rotp:        Stellar Rotational Period [days]
# COLUMN st_rotperr1:    Stellar Rotational Period [days] Upper Unc.
# COLUMN st_rotperr2:    Stellar Rotational Period [days] Lower Unc.
# COLUMN st_rotplim:     Stellar Rotational Period Limit Flag
#
pl_name	hostname	st_teff	st_tefferr1	st_tefferr2	st_tefflim	st_rad	st_raderr1	st_raderr2	st_mass	st_masserr1	st_masserr2	st_masslim	st_rotp	st_rotperr1	st_rotperr2	st_rotplim
HD 11977 b	HD 11977	4970.00	70.00	-70.00	0	10.09	0.32	-0.32	1.91	0.21	-0.21	0				
HD 120084 b	HD 120084	4892.00	22.00	-22.00	0	9.12	0.65	-0.61	2.39	0.06	-0.30	0				
HD 121504 b	HD 121504	6075.00			0				1.18			0				
HD 121504 b	HD 121504	6027.00	24.00	-24.00	0	1.07	0.02	-0.02	1.62	0.21	-0.21	0				
HD 124330 b	HD 124330	5873.00	19.00	-19.00	0				1.15	0.08	-0.08	0				
HD 12484 b	HD 12484	5920.00	30.00	-30.00	0				1.01	0.03	-0.03	0				
HD 125390 b	HD 125390	4850.00			0	6.47			1.36			0				
HD 125595 b	HD 125595	4691.00	166.00	-166.00	0	0.74	0.05	-0.05	0.29	0.25	-0.25	0				
HD 125595 b	HD 125595	4908.00	87.00	-87.00	0				0.76	0.02	-0.02	0	40.10			0
HD 125612 b	HD 125612	5897.00	40.00	-40.00	0	1.05	0.04	-0.03	1.10	0.04	-0.03	0	10.50			0
HD 125612 b	HD 125612	5900.00	18.00	-18.00	0				1.09	0.03	-0.03	0				
HD 125612 b	HD 125612	5931.00	29.00	-29.00	0	1.07	0.02	-0.02	1.19	0.07	-0.07	0				
HD 125612 b	HD 125612	5841.00			0	1.05	0.07	-0.07	1.11	0.20	-0.20	0				
HD 125612 c	HD 125612	5900.00	18.00	-18.00	0				1.09	0.03	-0.03	0				
HD 125612 c	HD 125612	5841.00			0	1.05	0.07	-0.07	1.11	0.20	-0.20	0				
HD 125612 d	HD 125612	5841.00			0	1.05	0.07	-0.07	1.11	0.20	-0.20	0				
HD 125612 d	HD 125612	5900.00	18.00	-18.00	0				1.09	0.03	-0.03	0				
HD 12648 b	HD 12648	4835.00	7.00	-7.00	0	11.02	0.48	-0.48	0.67	0.07	-0.07	0				
HD 12648 b	HD 12648	4835.80	7.50	-7.50	0	9.20	0.60	-0.60	1.20	0.10	-0.10	0				
HD 126525 b	HD 126525	5638.00	13.00	-13.00	0	0.98	0.03	-0.03	0.90	0.01	-0.01	0	40.00			0
HD 12661 b	HD 12661	5661.18	94.14	-94.14	0	1.20	0.03	-0.03	1.08	0.04	-0.04	0				
HD 12661 b	HD 12661	5655.00	104.73	-104.02	0	1.21	0.07	-0.03	1.00	0.13	-0.12	0				
HD 12661 b	HD 12661	5754.00			0	1.10			1.07			0				
HD 12661 b	HD 12661	5655.00	104.73	-104.02	0	1.21	0.07	-0.03	1.00	0.13	-0.12	0				
HD 12661 b	HD 12661	5645.00	31.00	-31.00	0	1.20	0.02	-0.02	1.20	0.10	-0.10	0				
HD 12661 b	HD 12661	5748.00	70.00	-70.00	0	1.11	0.08	-0.08	1.02	0.02	-0.02	0				
HD 12661 c	HD 12661	5655.00	104.73	-104.02	0	1.21	0.07	-0.03	1.00	0.13	-0.12	0				
HD 12661 c	HD 12661	5748.00	70.00	-70.00	0	1.11	0.08	-0.08	1.02	0.02	-0.02	0				
HD 12661 c	HD 12661	5661.18	94.14	-94.14	0	1.20	0.03	-0.03	1.08	0.04	-0.04	0				
HD 12661 c	HD 12661	5655.00	104.73	-104.02	0	1.21	0.07	-0.03	1.00	0.13	-0.12	0				
HD 126614 b	HD 126614	5409.83	84.46	-84.46	0	1.37	0.03	-0.03	1.02	0.03	-0.03	0				
HD 126614 b	HD 126614	5568.00	23.00	-23.00	0	1.32	0.05	-0.05	1.26	0.20	-0.20	0				
HD 126614 b	HD 126614	5585.00	44.00	-44.00	0	1.09	0.06	-0.06	1.15	0.03	-0.03	0				
HD 128311 b	HD 128311	4931.94	65.98	-65.98	0	0.78	0.01	-0.01	0.84	0.03	-0.03	0				
HD 128311 b	HD 128311					0.76	0.02	-0.02	0.83	0.01	-0.01	0				
HD 128311 b	HD 128311	4965.00	44.00	-44.00	0				0.83	0.01	-0.01	0				
HD 128311 b	HD 128311								0.83			0				
HD 128311 b	HD 128311								0.80			0				
HD 128311 b	HD 128311								0.84			0				
HD 128311 c	HD 128311					0.76	0.02	-0.02	0.83	0.01	-0.01	0				
HD 128311 c	HD 128311								0.84			0				
HD 128311 c	HD 128311	4931.94	65.98	-65.98	0	0.78	0.01	-0.01	0.84	0.03	-0.03	0				
HD 128311 c	HD 128311								0.83			0				
HD 128311 c	HD 128311	4965.00	44.00	-44.00	0				0.83	0.01	-0.01	0				
HD 128356 b	HD 128356	4875.00	100.00	-100.00	0	0.85	0.02	-0.02	0.65	0.05	-0.05	0				
HD 129445 b	HD 129445								0.99			0				
HD 130322 b	HD 130322								0.85			0				
HD 130322 b	HD 130322	5330.00			0				0.79			0				
HD 130322 b	HD 130322	5387.00	44.00	-44.00	0	0.85	0.04	-0.04	0.92	0.03	-0.03	0				
HD 130322 b	HD 130322	5400.49	66.79	-66.79	0	0.87	0.02	-0.02	0.93	0.03	-0.03	0				
HD 130322 b	HD 130322	5308.00	44.00	-44.00	0				0.84	0.02	-0.02	0				
HD 131496 b	HD 131496	4846.00			0	4.44			1.34			0				
HD 131496 b	HD 131496	4927.00	44.00	-44.00	0	4.30	0.10	-0.10	1.61	0.11	-0.11	0				
HD 131496 b	HD 131496	4886.00	45.00	-45.00	0	5.54	0.24	-0.24	1.62	0.43	-0.43	0				
HD 131664 b	HD 131664	5886.00	21.00	-21.00	0	1.16			1.10	0.03	-0.03	0				
HD 131664 b	HD 131664	5892.00	40.00	-40.00	0	1.08	0.02	-0.02	1.19	0.11	-0.11	0				
HD 13167 b	HD 13167	5671.00			0	2.39			1.35			0				
HD 13189 b	HD 13189	4175.00	33.00	-33.00	0	38.41	4.84	-4.84	2.24	0.88	-0.88	0				
HD 13189 b	HD 13189	4184.40	32.03	-32.03	0	41.98										
HD 132406 b	HD 132406	5783.00	38.00	-38.00	0	1.34	0.04	-0.04	1.03	0.15	-0.15	0				
HD 132406 b	HD 132406	5759.29	105.97	-178.53	0	1.35	0.08	-0.07	1.03	0.16	-0.09	0				
HD 132563 b	HD 132563	6289.00	128.13	-128.13	0	1.30	0.07	-0.04	1.23	0.22	-0.15	0				
HD 133131 A b	HD 133131 A	5799.00	19.00	-19.00	0				0.95			0				
HD 133131 A c	HD 133131 A	5799.00	19.00	-19.00	0				0.95			0				
HD 133131 B b	HD 133131 B	5805.00	15.00	-15.00	0				0.93			0				
HD 134060 b	HD 134060	5966.00	14.00	-14.00	0				1.09			0	23.00	2.90	-2.90	0
HD 134060 c	HD 134060	5966.00	14.00	-14.00	0				1.09			0	23.00	2.90	-2.90	0
HD 134987 b	HD 134987								1.05			0				
HD 134987 b	HD 134987	5736.00	17.00	-17.00	0	1.22	0.03	-0.03	1.10	0.07	-0.07	0				
HD 134987 b	HD 134987	5585.00	50.00	-50.00	0	1.25	0.04	-0.04	1.10	0.07	-0.04	0				
HD 134987 b	HD 134987	5750.00			0				1.10			0				
HD 134987 b	HD 134987	5700.78	87.50	-87.50	0	1.29	0.03	-0.03	1.09	0.05	-0.05	0				
HD 134987 c	HD 134987	5700.78	87.50	-87.50	0	1.29	0.03	-0.03	1.09	0.05	-0.05	0				
HD 134987 c	HD 134987	5585.00	50.00	-50.00	0	1.25	0.04	-0.04	1.10	0.07	-0.04	0				
HD 136352 b	HD 136352	5850.00	100.00	-100.00	0	1.01	0.02	-0.02	0.91	0.06	-0.05	0				
HD 136352 b	HD 136352	5664.00	61.00	-61.00	0	1.06	0.02	-0.02	0.87	0.04	-0.04	0	23.80	3.10	-3.10	0
HD 136352 b	HD 136352	5664.00	14.00	-14.00	0				0.81			0	23.80	3.10	-3.10	0
HD 136352 c	HD 136352	5664.00	61.00	-61.00	0	1.06	0.02	-0.02	0.87	0.04	-0.04	0	23.80	3.10	-3.10	0
HD 136352 c	HD 136352	5664.00	14.00	-14.00	0				0.81			0	23.80	3.10	-3.10	0
HD 136352 c	HD 136352	5850.00	100.00	-100.00	0	1.01	0.02	-0.02	0.91	0.06	-0.05	0				
HD 136352 d	HD 136352	5664.00	61.00	-61.00	0	1.06	0.02	-0.02	0.87	0.04	-0.04	0	23.80	3.10	-3.10	0
HD 136352 d	HD 136352	5850.00	100.00	-100.00	0	1.01	0.02	-0.02	0.91	0.06	-0.05	0				
HD 136352 d	HD 136352	5664.00	14.00	-14.00	0				0.81			0	23.80	3.10	-3.10	0
HD 136418 b	HD 136418	4989.00	10.00	-10.00	0	3.78	0.10	-0.10	1.48	0.12	-0.12	0				
HD 136418 b	HD 136418	5071.00	44.00	-44.00	0	3.40	0.10	-0.10	1.33	0.09	-0.09	0				
HD 136925 b	HD 136925	5773.19	58.14	-58.14	0	1.19	0.03	-0.03	0.88	0.02	-0.02	0				
HD 137388 b	HD 137388	5240.00	53.00	-53.00	0	0.82			0.86			0				
HD 137388 b	HD 137388	5181.00	29.00	-29.00	0	0.88	0.01	-0.01	0.68	0.05	-0.05	0				
HD 137496 b	HD 137496	5799.00	61.00	-61.00	0	1.59	0.03	-0.03	1.04	0.02	-0.02	0				
HD 137496 c	HD 137496	5799.00	61.00	-61.00	0	1.59	0.03	-0.03	1.04	0.02	-0.02	0				
HD 13808 b	HD 13808	5035.00	50.00	-50.00	0	0.78	0.02	-0.02	0.77	0.02	-0.02	0	38.99	0.47	-0.47	0
HD 13808 c	HD 13808	5035.00	50.00	-50.00	0	0.78	0.02	-0.02	0.77	0.02	-0.02	0	38.99	0.47	-0.47	0
HD 13908 b	HD 13908	6255.00	66.00	-66.00	0	1.67	0.10	-0.10	1.29	0.04	-0.04	0				
HD 13908 c	HD 13908	6255.00	66.00	-66.00	0	1.67	0.10	-0.10	1.29	0.04	-0.04	0				
HD 13931 b	HD 13931								1.02	0.02	-0.02	0				
HD 13931 b	HD 13931	5805.45	96.62	-96.62	0	1.30	0.03	-0.03	1.02	0.05	-0.05	0				
HD 13931 b	HD 13931	5867.00	25.00	-25.00	0	1.25	0.02	-0.02	1.30	0.13	-0.13	0				
HD 13931 b	HD 13931	5829.00	44.00	-44.00	0	1.23	0.06	-0.06	1.02	0.02	-0.02	0				
HD 139357 b	HD 139357	4700.00	70.00	-70.00	0	11.47	0.75	-0.75	1.35	0.24	-0.24	0				
HD 1397 b	HD 1397	5521.00	60.00	-60.00	0	2.34	0.05	-0.06	1.32	0.04	-0.05	0				
HD 1397 b	HD 1397	5521.00	60.00	-60.00	0	2.34	0.05	-0.06	1.32	0.04	-0.05	0				
HD 1397 b	HD 1397	5474.00	80.00	-80.00	0	2.34	0.02	-0.02	1.26	0.03	-0.03	0				
HD 1397 b	HD 1397	5479.30	57.00	-57.00	0	2.49	0.30	-0.30								
HD 14067 b	HD 14067	4846.00	122.00	-122.00	0	10.77										
HD 14067 b	HD 14067	4815.00	100.00	-100.00	0	12.40	1.10	-1.10	2.40	0.20	-0.20	0				
HD 141004 b	HD 141004	5885.38	94.35	-94.35	0	1.39	0.03	-0.03	1.05	0.05	-0.05	0				
HD 141399 b	HD 141399	5594.76	86.52	-86.52	0	1.39	0.03	-0.03	1.09	0.06	-0.06	0				
HD 141399 b	HD 141399	5600.00	40.00	-40.00	0				1.07	0.08	-0.08	0				
HD 141399 b	HD 141399	5360.00	53.00	-53.00	0	1.46	0.15	-0.15	1.14	0.08	-0.08	0				
HD 141399 c	HD 141399	5600.00	40.00	-40.00	0				1.07	0.08	-0.08	0				
HD 141399 c	HD 141399	5594.76	86.52	-86.52	0	1.39	0.03	-0.03	1.09	0.06	-0.06	0				
HD 141399 c	HD 141399	5360.00	53.00	-53.00	0	1.46	0.15	-0.15	1.14	0.08	-0.08	0				
HD 141399 d	HD 141399	5594.76	86.52	-86.52	0	1.39	0.03	-0.03	1.09	0.06	-0.06	0				
HD 141399 d	HD 141399	5360.00	53.00	-53.00	0	1.46	0.15	-0.15	1.14	0.08	-0.08	0				
HD 141399 d	HD 141399	5600.00	40.00	-40.00	0				1.07	0.08	-0.08	0				
HD 141399 e	HD 141399	5360.00	53.00	-53.00	0	1.46	0.15	-0.15	1.14	0.08	-0.08	0				
HD 141399 e	HD 141399	5600.00	40.00	-40.00	0				1.07	0.08	-0.08	0				
HD 141399 e	HD 141399	5594.76	86.52	-86.52	0	1.39	0.03	-0.03	1.09	0.06	-0.06	0				
HD 141937 b	HD 141937	5870.00	9.00	-9.00	0	1.03	0.01	-0.01	1.09	0.05	-0.05	0				
HD 141937 b	HD 141937	5879.00	70.00	-70.00	0	0.99	0.06	-0.06	1.03	0.02	-0.02	0				
HD 141937 b	HD 141937	5925.00			0				1.10			0				
HD 142 b	HD 142	6245.00	48.00	-48.00	0	1.47	0.04	-0.04	1.23	0.22	-0.16	0				
HD 142 b	HD 142	6025.00			0				1.15	0.10	-0.10	0				
HD 142 b	HD 142	6249.00			0				1.24			0				
HD 142 c	HD 142	6245.00	48.00	-48.00	0	1.47	0.04	-0.04	1.23	0.22	-0.16	0				
HD 142022 A b	HD 142022 A	5421.00	77.00	-77.00	0	1.04	0.03	-0.03	0.90	0.05	-0.05	0				
HD 142022 A b	HD 142022 A	5499.00	27.00	-27.00	0				0.99			0				
HD 142245 b	HD 142245	4922.00	13.00	-13.00	0	4.63	0.16	-0.16	3.50	0.47	-0.47	0				
HD 142245 b	HD 142245	4878.00	44.00	-44.00	0	5.20	0.10	-0.10	1.69	0.12	-0.12	0				
HD 142415 b	HD 142415	5940.00	28.00	-28.00	0	1.04	0.02	-0.02	1.07	0.10	-0.10	0				
HD 142415 b	HD 142415	6045.00			0				1.03			0				
HD 143105 b	HD 143105	6380.00	60.00	-60.00	0				1.51	0.11	-0.11	0				
HD 143361 b	HD 143361								0.95			0				
HD 143361 b	HD 143361	5507.00	10.00	-10.00	0	0.92	0.04	-0.04	0.97	0.03	-0.03	0	42.00			0
HD 143361 b	HD 143361								0.95			0				
HD 143361 b	HD 143361	5505.00	100.00	-100.00	0	0.99	0.08	-0.08	0.95	0.05	-0.05	0				
HD 145377 b	HD 145377	6014.00	20.00	-20.00	0	1.05	0.02	-0.02	1.20	0.14	-0.14	0				
HD 145377 b	HD 145377	6046.00	15.00	-15.00	0	1.14			1.12	0.03	-0.03	0				
HD 145457 b	HD 145457								1.00	0.40	-0.10	0				
HD 145457 b	HD 145457	4757.00	100.00	-100.00	0	9.90	0.50	-0.50	1.90	0.30	-0.30	0				
HD 145457 b	HD 145457	4769.00	27.00	-27.00	0	10.52	0.41	-0.41	1.23	0.34	-0.34	0				
HD 145675 c	14 Her	5314.94	81.56	-81.56	0	1.00	0.02	-0.02	0.97	0.04	-0.04	0				
HD 145934 b	HD 145934					5.38	0.44	-0.44	1.75	0.10	-0.10	0				
HD 145934 b	HD 145934	4823.75	78.09	-78.09	0	6.93	0.17	-0.17	1.81	0.23	-0.23	0				
HD 1461 b	HD 1461	5739.00	94.16	-121.78	0	1.13	0.05	-0.05	1.03	0.15	-0.11	0				
HD 1461 b	HD 1461	5765.00	18.00	-18.00	0				1.02			0				
HD 1461 b	HD 1461	5765.00	18.00		0	1.11	0.04		1.02	0.10		0				
HD 1461 b	HD 1461	5695.23	94.31	-94.31	0	1.15	0.03	-0.03	1.03	0.05	-0.05	0				
HD 1461 c	HD 1461	5765.00	18.00	-18.00	0				1.02			0				
HD 1461 c	HD 1461	5695.23	94.31	-94.31	0	1.15	0.03	-0.03	1.03	0.05	-0.05	0				
HD 147018 b	HD 147018	5441.00	55.00	-55.00	0				0.93	0.03	-0.03	0				
HD 147018 c	HD 147018	5441.00	55.00	-55.00	0				0.93	0.03	-0.03	0				
HD 147379 b	HD 147379	4126.06	37.60	-37.60	0	0.63	0.01	-0.01	0.65	0.01	-0.01	0				
HD 147379 b	HD 147379	4090.00	50.00	-50.00	0	0.57	0.06	-0.06	0.58	0.08	-0.08	0	31.00	20.00	-20.00	0
HD 147379 b	HD 147379	4156.00	73.00	-73.00	0				0.60	0.07	-0.07	0	28.80	6.10	-6.10	0
HD 147513 b	HD 147513	5883.00			0				1.11			0				
HD 14787 b	HD 14787	4946.00			0	5.01			1.43			0				
HD 147873 b	HD 147873	5972.00	100.00	-100.00	0	2.29	0.10	-0.10	1.38	0.05	-0.05	0				
HD 147873 c	HD 147873	5972.00	100.00	-100.00	0	2.29	0.10	-0.10	1.38	0.05	-0.05	0				
HD 148156 b	HD 148156	6308.00	28.00	-28.00	0	1.21	0.03	-0.03	1.22			0				
HD 148164 b	HD 148164	6032.00			0	1.34	0.10	-0.10	1.21	0.24	-0.24	0				
HD 148164 c	HD 148164	6032.00			0	1.34	0.10	-0.10	1.21	0.24	-0.24	0				
HD 148427 b	HD 148427	5052.00	44.00	-44.00	0	3.22	0.20	-0.20	1.45	0.06	-0.06	0				
HD 148427 b	HD 148427	5025.00	4.00	-4.00	0	3.86	0.12	-0.12	1.64	0.27	-0.27	0				
HD 149026 b	HD 149026	6160.00	50.00	-50.00	0	1.37	0.12	-0.08	1.29	0.06	-0.05	0				
HD 149026 b	HD 149026	6160.00	50.00	-50.00	0	1.54	0.05	-0.04	1.34	0.02	-0.02	0				
HD 149026 b	HD 149026	6147.00	50.00	-50.00	0	1.29	0.12	-0.06	1.27	0.04	-0.03	0				
HD 149026 b	HD 149026	6179.00	15.00	-15.00	0	1.41	0.03	-0.03	1.42	0.33	-0.33	0				
HD 149026 b	HD 149026	6084.00			0	1.50	0.09	-0.09	1.30	0.22	-0.22	0				
HD 149026 b	HD 149026								1.34	0.02	-0.02	0				
HD 149026 b	HD 149026	6160.00	50.00	-50.00	0	1.53	0.05	-0.05	1.34	0.02	-0.02	0				
HD 149026 b	HD 149026	6147.00	50.00	-50.00	0	1.45	0.10	-0.10	1.30	0.10	-0.10	0				
HD 149026 b	HD 149026	6160.00			0											
HD 149026 b	HD 149026															
HD 149143 b	HD 149143	5884.00	50.00	-50.00	0	1.49	0.10	-0.10	1.21	0.10	-0.10	0				
HD 149143 b	HD 149143	5730.00	150.00	-150.00	0				1.10	0.10	-0.10	0				
HD 149143 b	HD 149143	5856.00			0	1.44	0.08	-0.08	1.20	0.20	-0.20	0				
HD 149143 b	HD 149143	6013.00	47.00	-47.00	0	1.63	0.04	-0.04	1.73	0.21	-0.21	0				
HD 150010 b	HD 150010	4153.00	83.00	-83.00	0	16.20	0.40	-0.40	1.30	0.10	-0.10	0				
HD 1502 b	HD 1502	5049.00	44.00	-44.00	0	4.50	0.10	-0.10	1.61	0.11	-0.11	0				
HD 1502 b	HD 1502	4947.00			0	4.67			1.46			0				
HD 150706 b	HD 150706	5961.00	27.00	-27.00	0	0.96	0.02	-0.02	1.17	0.12	-0.12	0				
HD 152079 b	HD 152079	5907.00	52.00	-52.00	0	1.13	0.07	-0.07	1.15	0.03	-0.03	0	31.00			0
HD 152079 b	HD 152079	5726.00	100.00	-100.00	0	1.15	0.13	-0.13	1.10	0.05	-0.05	0				
HD 152079 b	HD 152079								1.02			0				
HD 152581 b	HD 152581	5155.00	44.00	-44.00	0	4.80	0.10	-0.10	0.93	0.07	-0.07	0				
HD 152581 b	HD 152581	5095.00	23.00	-23.00	0	4.80	0.24	-0.24	1.72	0.26	-0.26	0				
HD 152581 b	HD 152581	5027.00			0	5.14			1.30			0				
HD 152843 b	HD 152843	6329.00	134.96	-134.96	0	1.40	0.06	-0.06								
HD 152843 b	HD 152843	6310.00	100.00	-100.00	0	1.43	0.02	-0.02	1.15	0.04	-0.04	0				
HD 152843 c	HD 152843	6310.00	100.00	-100.00	0	1.43	0.02	-0.02	1.15	0.04	-0.04	0				
HD 15337 b	HD 15337	5125.00	50.00	-50.00	0	0.86	0.02	-0.02	0.90	0.03	-0.03	0	36.53	0.02	-0.02	0
HD 15337 b	HD 15337	5131.00	74.00	-74.00	0	0.84	0.02	-0.02	0.85	0.04	-0.03	0	36.55			0
HD 15337 b	HD 15337	5175.20	23.62	-23.62	0	0.84	0.04	-0.04								
HD 15337 c	HD 15337	5125.00	50.00	-50.00	0	0.86	0.02	-0.02	0.90	0.03	-0.03	0	36.53	0.02	-0.02	0
HD 15337 c	HD 15337	5131.00	74.00	-74.00	0	0.84	0.02	-0.02	0.85	0.04	-0.03	0	36.55			0
HD 15337 c	HD 15337	5175.20	23.62	-23.62	0	0.84	0.04	-0.04								
HD 153950 b	HD 153950	6124.00	81.00	-81.00	0	1.28	0.04	-0.04	1.25	0.18	-0.18	0				
HD 153950 b	HD 153950	6076.00	13.00	-13.00	0	1.34			1.12	0.03	-0.03	0				
HD 154088 b	HD 154088	5374.00	43.00	-43.00	0				0.91	0.02	-0.02	0				
HD 154345 b	HD 154345								0.89	0.04	-0.04	0				
HD 154345 b	HD 154345	5455.00	153.39	-128.73	0	0.87	0.04	-0.06	0.95	0.12	-0.12	0				
HD 154345 b	HD 154345	5468.00	14.00	-14.00	0	0.85	0.01	-0.01	0.71	0.07	-0.07	0				
HD 154345 b	HD 154345	5490.62	81.11	-81.11	0	0.87	0.02	-0.02	0.89	0.04	-0.04	0				
HD 154345 b	HD 154345								0.88	0.09	-0.09	0				
HD 154672 b	HD 154672	5743.00	103.52	-100.56	0	1.36	0.05	-0.06	1.03	0.15	-0.10	0				
HD 154672 b	HD 154672	5743.00	23.00	-23.00	0	1.32	0.02	-0.02	1.18	0.12	-0.12	0				
HD 154672 b	HD 154672	5655.00	100.00	-100.00	0	1.44	0.05	-0.05	1.08	0.05	-0.05	0				
HD 154857 b	HD 154857	5589.00	18.00	-18.00	0	2.30	0.06	-0.06	1.96	0.12	-0.12	0				
HD 154857 b	HD 154857	5605.00			0	1.76	0.06	-0.06	1.72	0.03	-0.02	0				
HD 154857 b	HD 154857	5604.56	150.29	-132.28	0	2.27	0.14	-0.12	0.99	0.13	-0.13	0				
HD 154857 c	HD 154857	5605.00			0	1.76	0.06	-0.06	1.72	0.03	-0.02	0				
HD 155193 b	HD 155193	6239.00	20.00	-20.00	0				1.22	0.08	-0.08	0				
HD 155233 b	HD 155233	4960.00	100.00	-100.00	0	5.03	0.39	-0.39	1.69	0.14	-0.14	0				
HD 155233 b	HD 155233	4845.00	100.00	-100.00	0	5.03	0.22	-0.22	1.50	0.20	-0.20	0				
HD 155358 b	HD 155358	5900.00	100.00	-100.00	0				0.92			0				
HD 155358 b	HD 155358	5905.00	13.00	-13.00	0	1.38	0.02	-0.02	1.15	0.08	-0.08	0				
HD 155358 c	HD 155358	5900.00	100.00	-100.00	0				0.92			0				
HD 156279 b	HD 156279	5453.00	40.00	-40.00	0	0.95	0.02	-0.02	0.95	0.08	-0.08	0				
HD 156279 b	HD 156279	5458.24	84.23	-84.23	0	0.97	0.02	-0.02	0.96	0.05	-0.05	0				
HD 156279 b	HD 156279	5453.00	40.00	-40.00	0				0.93	0.04	-0.04	0				
HD 156279 c	HD 156279	5458.24	84.23	-84.23	0	0.97	0.02	-0.02	0.96	0.05	-0.05	0				
HD 156279 c	HD 156279								0.93	0.04	-0.04	0				
HD 156411 b	HD 156411	5900.00	15.00	-15.00	0	2.16	0.09	-0.09	1.25			0				
HD 156668 b	HD 156668	4850.00	88.00	-88.00	0	0.72	0.01	-0.01	0.77	0.02	-0.02	0				
HD 156668 b	HD 156668	4903.69	59.64	-59.64	0	0.77	0.01	-0.01	0.79	0.02	-0.02	0				
HD 156668 b	HD 156668	4849.92	116.10	-89.95	0	0.76	0.04	-0.05	0.79	0.09	-0.10	0				
HD 156668 c	HD 156668	4903.69	59.64	-59.64	0	0.77	0.01	-0.01	0.79	0.02	-0.02	0				
HD 156846 b	HD 156846	6090.00	31.00	-31.00	0	1.90	0.04	-0.04	1.38	0.14	-0.14	0				
HD 156846 b	HD 156846	5969.00	44.00	-44.00	0	2.12	0.12	-0.12	1.35	0.04	-0.04	0				
HD 156846 b	HD 156846	6138.00	36.00	-36.00	0				1.43			0				
HD 158038 b	HD 158038	4860.00	38.00	-38.00	0	4.50	0.16	-0.16	1.30	0.56	-0.56	0				
HD 158038 b	HD 158038	4897.00	44.00	-44.00	0	4.80	0.10	-0.10	1.65	0.12	-0.12	0				
HD 158259 b	HD 158259	5801.89	124.62	-124.62	0	1.26	0.06	-0.06								
HD 158259 b	HD 158259					1.21	0.03	-0.08	1.08	0.10	-0.10	0	20.00	7.00	-7.00	0
HD 158259 c	HD 158259					1.21	0.03	-0.08	1.08	0.10	-0.10	0	20.00	7.00	-7.00	0
HD 158259 d	HD 158259					1.21	0.03	-0.08	1.08	0.10	-0.10	0	20.00	7.00	-7.00	0
HD 158259 e	HD 158259					1.21	0.03	-0.08	1.08	0.10	-0.10	0	20.00	7.00	-7.00	0
HD 158259 f	HD 158259					1.21	0.03	-0.08	1.08	0.10	-0.10	0	20.00	7.00	-7.00	0
HD 158996 b	HD 158996	4069.00	30.00	-30.00	0	50.30	4.30	-4.30	1.80	0.30	-0.30	0	627.00			0
HD 159243 b	HD 159243	6123.00	65.00	-65.00	0	1.12	0.05	-0.05	1.12	0.03	-0.03	0				
HD 159243 c	HD 159243	6123.00	65.00	-65.00	0	1.12	0.05	-0.05	1.12	0.03	-0.03	0				
HD 159868 b	HD 159868	5534.00	86.29	-133.33	0	2.06	0.12	-0.07	0.97	0.14	-0.10	0				
HD 159868 b	HD 159868	5558.00	15.00	-15.00	0				1.09	0.03	-0.03	0				
HD 159868 b	HD 159868	5534.00			0	2.13			1.19			0				
HD 159868 b	HD 159868	5566.00	20.00	-20.00	0	1.97	0.04	-0.04	1.42	0.12	-0.12	0				
HD 159868 c	HD 159868	5558.00	15.00	-15.00	0				1.09	0.03	-0.03	0				
HD 159868 c	HD 159868	5534.00			0	2.13			1.19			0				
HD 1605 b	HD 1605	4757.00	50.00	-50.00	0	3.80	0.40	-0.40	1.31	0.11	-0.11	0				
HD 1605 b	HD 1605	4915.00			0	3.49	0.22	-0.22	1.33	0.09	-0.09	0				
HD 1605 b	HD 1605	4757.00	50.00	-50.00	0	4.33	0.14	-0.14	1.72	0.30	-0.30	0				
HD 1605 c	HD 1605	4915.00			0	3.49	0.22	-0.22	1.33	0.09	-0.09	0				
HD 1605 c	HD 1605	4757.00	50.00	-50.00	0	3.80	0.40	-0.40	1.31	0.11	-0.11	0				
HD 160691 b	HD 160691								1.08	0.05	-0.05	0				
HD 160691 b	HD 160691	5771.56	119.41	-84.05	0	1.38	0.05	-0.06	1.03	0.15	-0.11	0				
HD 160691 b	HD 160691								1.08			0				
HD 160691 b	HD 160691								1.08	0.05	-0.05	0				
HD 160691 b	HD 160691	5807.00	30.00	-30.00	0				1.08	0.05	-0.05	0				
HD 160691 c	HD 160691	5807.00	30.00	-30.00	0				1.08	0.05	-0.05	0				
