# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jul 12 02:33:05 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rotp:        Stellar Rotational Period [days]
#
pl_name,hostname,st_teff,st_rad,st_mass,st_rotp
Kepler-1316 b,Kepler-1316,5821.00,0.85,0.94,
Kepler-1316 b,Kepler-1316,5821.00,0.85,0.94,
Kepler-1316 b,Kepler-1316,6126.00,1.19,1.16,
Kepler-1316 b,Kepler-1316,6126.00,1.19,1.16,
Kepler-1316 b,Kepler-1316,5884.00,1.12,1.04,
Kepler-1316 b,Kepler-1316,5821.00,0.85,0.94,
Kepler-1316 b,Kepler-1316,5936.00,1.20,,
Kepler-1317 b,Kepler-1317,5220.00,0.77,,
Kepler-1317 b,Kepler-1317,5057.15,0.81,0.84,
Kepler-1317 b,Kepler-1317,5216.00,0.79,0.87,
Kepler-1317 b,Kepler-1317,5216.00,0.79,0.87,
Kepler-1317 b,Kepler-1317,5223.00,0.78,0.89,
Kepler-1317 b,Kepler-1317,5057.15,0.81,0.84,
Kepler-1317 b,Kepler-1317,5159.00,0.71,0.81,
Kepler-1317 b,Kepler-1317,5144.00,0.79,0.83,
Kepler-1317 b,Kepler-1317,5216.00,0.79,0.87,
Kepler-1318 b,Kepler-1318,4476.00,0.71,,
Kepler-1318 b,Kepler-1318,4505.00,0.71,0.71,
Kepler-1318 b,Kepler-1318,4505.00,0.71,0.71,
Kepler-1318 b,Kepler-1318,4505.00,0.71,0.71,
Kepler-1318 b,Kepler-1318,4476.00,0.64,0.66,
Kepler-1318 b,Kepler-1318,4476.00,0.64,0.66,
Kepler-1318 b,Kepler-1318,4477.00,0.64,0.66,
Kepler-1318 b,Kepler-1318,4504.00,0.60,0.63,
Kepler-1318 b,Kepler-1318,4598.00,0.70,0.73,
Kepler-1318 b,Kepler-1318,4476.00,0.64,0.66,
Kepler-1319 b,Kepler-1319,3527.00,0.50,0.50,
Kepler-1319 b,Kepler-1319,3240.00,0.27,0.21,
Kepler-1319 b,Kepler-1319,3655.00,0.54,0.56,
Kepler-1319 b,Kepler-1319,3494.00,0.50,,
Kepler-1319 b,Kepler-1319,3527.00,0.50,0.50,
Kepler-1319 b,Kepler-1319,3673.00,0.54,0.56,
Kepler-1319 b,Kepler-1319,3527.00,0.50,0.50,
Kepler-1319 b,Kepler-1319,3400.00,0.27,0.27,
Kepler-1319 b,Kepler-1319,3483.00,0.39,0.41,
Kepler-1319 b,Kepler-1319,3400.00,0.27,0.27,
Kepler-1319 b,Kepler-1319,3400.00,0.27,0.27,
Kepler-132 b,Kepler-132,5921.00,1.04,0.92,
Kepler-132 b,Kepler-132,5879.00,1.41,1.02,
Kepler-132 b,Kepler-132,5904.77,,,
Kepler-132 b,Kepler-132,5921.00,1.04,0.92,
Kepler-132 b,Kepler-132,5931.00,1.10,0.93,
Kepler-132 b,Kepler-132,5921.00,1.04,0.92,
Kepler-132 b,Kepler-132,6003.00,1.18,,
Kepler-132 b,Kepler-132,6023.00,1.10,1.03,
Kepler-132 b,Kepler-132,5925.00,1.03,0.98,
Kepler-132 b,Kepler-132,5904.77,,,
Kepler-132 b,Kepler-132,5904.77,,,
Kepler-132 c,Kepler-132,5931.00,1.10,0.93,
Kepler-132 c,Kepler-132,5925.00,1.03,0.98,
Kepler-132 c,Kepler-132,6023.00,1.10,1.03,
Kepler-132 c,Kepler-132,6003.00,1.18,,
Kepler-132 c,Kepler-132,5921.00,1.04,0.92,
Kepler-132 c,Kepler-132,5879.00,1.41,1.02,
Kepler-132 c,Kepler-132,5904.77,,,
Kepler-132 c,Kepler-132,5904.77,,,
Kepler-132 c,Kepler-132,5921.00,1.04,0.92,
Kepler-132 c,Kepler-132,5904.77,,,
Kepler-132 c,Kepler-132,5921.00,1.04,0.92,
Kepler-132 d,Kepler-132,6003.00,1.18,,
Kepler-132 d,Kepler-132,5925.00,1.03,0.98,
Kepler-132 d,Kepler-132,5879.00,1.41,1.02,
Kepler-132 d,Kepler-132,5921.00,1.04,0.92,
Kepler-132 d,Kepler-132,5921.00,1.04,0.92,
Kepler-132 d,Kepler-132,6023.00,1.10,1.03,
Kepler-132 d,Kepler-132,5904.77,,,
Kepler-132 d,Kepler-132,5904.77,,,
Kepler-132 d,Kepler-132,5931.00,1.10,0.93,
Kepler-132 d,Kepler-132,5904.77,,,
Kepler-132 d,Kepler-132,5921.00,1.04,0.92,
Kepler-132 e,Kepler-132,5931.00,1.10,0.93,
Kepler-132 e,Kepler-132,5921.00,1.04,0.92,
Kepler-132 e,Kepler-132,5921.00,1.04,0.92,
Kepler-132 e,Kepler-132,5921.00,1.04,0.92,
Kepler-132 e,Kepler-132,6023.00,1.10,1.03,
Kepler-132 e,Kepler-132,5904.77,,,
Kepler-132 e,Kepler-132,5904.77,,,
Kepler-132 e,Kepler-132,5904.77,,,
Kepler-1320 b,Kepler-1320,4790.00,0.73,0.78,
Kepler-1320 b,Kepler-1320,4790.00,0.73,0.78,
Kepler-1320 b,Kepler-1320,4575.00,0.69,0.72,
Kepler-1320 b,Kepler-1320,4792.00,0.61,,
Kepler-1320 b,Kepler-1320,4790.00,0.73,0.78,
Kepler-1320 b,Kepler-1320,4792.00,0.70,0.79,
Kepler-1320 b,Kepler-1320,4735.00,0.65,0.68,
Kepler-1320 b,Kepler-1320,4817.00,0.74,0.80,
Kepler-1320 b,Kepler-1320,4575.00,0.69,0.72,
Kepler-1321 b,Kepler-1321,4034.00,0.76,0.63,
Kepler-1321 b,Kepler-1321,4385.00,0.71,0.74,
Kepler-1321 b,Kepler-1321,4210.00,0.60,0.59,
Kepler-1321 b,Kepler-1321,3640.00,0.50,0.51,
Kepler-1321 b,Kepler-1321,3640.00,0.72,,
Kepler-1321 b,Kepler-1321,4034.00,0.76,0.63,
Kepler-1321 b,Kepler-1321,4094.00,0.53,0.54,
Kepler-1321 b,Kepler-1321,4034.00,0.76,0.63,
Kepler-1321 b,Kepler-1321,4385.00,0.71,0.74,
Kepler-1321 b,Kepler-1321,4385.00,0.71,0.74,
Kepler-1321 c,Kepler-1321,4034.00,0.76,0.63,
Kepler-1321 c,Kepler-1321,4385.00,0.71,0.74,
Kepler-1321 c,Kepler-1321,4385.00,0.71,0.74,
Kepler-1321 c,Kepler-1321,4385.00,0.71,0.74,
Kepler-1321 c,Kepler-1321,4034.00,0.76,0.63,
Kepler-1321 c,Kepler-1321,4094.00,0.53,0.54,
Kepler-1321 c,Kepler-1321,3640.00,0.50,0.51,
Kepler-1321 c,Kepler-1321,4210.00,0.60,0.59,
Kepler-1321 c,Kepler-1321,4034.00,0.76,0.63,
Kepler-1321 c,Kepler-1321,3640.00,0.72,,
Kepler-1321 d,Kepler-1321,4385.00,0.71,0.74,
Kepler-1321 d,Kepler-1321,4210.00,0.60,0.59,
Kepler-1321 d,Kepler-1321,3640.00,0.50,0.51,
Kepler-1321 d,Kepler-1321,3640.00,0.50,0.51,
Kepler-1321 d,Kepler-1321,4385.00,0.71,0.74,
Kepler-1321 d,Kepler-1321,4034.00,0.76,0.63,
Kepler-1321 d,Kepler-1321,4385.00,0.71,0.74,
Kepler-1321 d,Kepler-1321,4034.00,0.76,0.63,
Kepler-1322 b,Kepler-1322,5693.00,0.80,0.88,
Kepler-1322 b,Kepler-1322,5698.00,0.97,,
Kepler-1322 b,Kepler-1322,5704.00,0.80,0.90,
Kepler-1322 b,Kepler-1322,5720.00,0.85,0.96,
Kepler-1322 b,Kepler-1322,5693.00,0.80,0.88,
Kepler-1322 b,Kepler-1322,5488.00,0.87,0.90,
Kepler-1322 b,Kepler-1322,5425.00,1.01,0.94,
Kepler-1322 b,Kepler-1322,5425.00,1.01,0.94,
Kepler-1322 b,Kepler-1322,5693.00,0.80,0.88,
Kepler-1322 c,Kepler-1322,5704.00,0.80,0.90,
Kepler-1322 c,Kepler-1322,5425.00,1.01,0.94,
Kepler-1322 c,Kepler-1322,5704.00,0.80,0.90,
Kepler-1322 c,Kepler-1322,5693.00,0.80,0.88,
Kepler-1322 c,Kepler-1322,5720.00,0.85,0.96,
Kepler-1322 c,Kepler-1322,5693.00,0.80,0.88,
Kepler-1322 c,Kepler-1322,5693.00,0.80,0.88,
Kepler-1323 b,Kepler-1323,6437.00,1.33,1.15,
Kepler-1323 b,Kepler-1323,6437.00,1.33,1.15,
Kepler-1323 b,Kepler-1323,6063.00,1.23,,
Kepler-1323 b,Kepler-1323,6046.65,1.28,1.12,
Kepler-1323 b,Kepler-1323,6169.00,1.40,1.18,
Kepler-1323 b,Kepler-1323,6046.65,1.28,1.12,
Kepler-1323 b,Kepler-1323,6437.00,1.33,1.15,
Kepler-1323 b,Kepler-1323,6046.65,1.28,1.12,
Kepler-1323 b,Kepler-1323,6039.00,1.41,1.07,
Kepler-1323 b,Kepler-1323,6432.00,1.35,1.19,
Kepler-1324 b,Kepler-1324,4827.00,0.82,0.80,
Kepler-1324 b,Kepler-1324,4827.00,0.82,0.80,
Kepler-1324 b,Kepler-1324,4827.00,0.82,0.80,
Kepler-1324 b,Kepler-1324,4827.00,0.82,0.80,
Kepler-1324 b,Kepler-1324,4722.00,0.65,0.67,
Kepler-1324 b,Kepler-1324,4776.00,0.73,0.78,
Kepler-1324 b,Kepler-1324,4572.00,0.73,0.72,
Kepler-1324 b,Kepler-1324,4572.00,0.73,0.72,
Kepler-1324 b,Kepler-1324,4820.00,0.66,,
Kepler-1325 b,Kepler-1325,5669.00,0.83,0.94,
Kepler-1325 b,Kepler-1325,5717.00,0.88,0.98,
Kepler-1325 b,Kepler-1325,5470.00,0.95,0.96,
Kepler-1325 b,Kepler-1325,5533.00,1.07,0.93,
Kepler-1325 b,Kepler-1325,5550.00,0.91,0.93,
Kepler-1325 b,Kepler-1325,5470.00,0.95,0.96,
Kepler-1325 b,Kepler-1325,5533.00,0.93,,
Kepler-1325 b,Kepler-1325,5717.00,0.88,0.98,
Kepler-1325 b,Kepler-1325,5470.00,0.95,0.96,
Kepler-1325 b,Kepler-1325,5717.00,0.88,0.98,
Kepler-1326 b,Kepler-1326,6856.00,1.41,1.31,
Kepler-1326 b,Kepler-1326,6856.00,1.41,1.31,
Kepler-1326 b,Kepler-1326,6732.00,1.34,1.43,
Kepler-1326 b,Kepler-1326,6858.00,1.34,1.33,
Kepler-1326 b,Kepler-1326,6725.00,1.74,1.45,
Kepler-1326 b,Kepler-1326,6864.00,2.63,1.53,
Kepler-1326 b,Kepler-1326,6732.00,1.34,1.43,
Kepler-1326 b,Kepler-1326,6858.00,1.35,,
Kepler-1326 b,Kepler-1326,6856.00,1.41,1.31,
Kepler-1326 b,Kepler-1326,6732.00,1.34,1.43,
Kepler-1327 b,Kepler-1327,6143.00,1.12,1.00,
Kepler-1327 b,Kepler-1327,5718.08,1.06,1.02,
Kepler-1327 b,Kepler-1327,6146.00,1.14,1.06,
Kepler-1327 b,Kepler-1327,6143.00,1.12,1.00,
Kepler-1327 b,Kepler-1327,5718.08,1.06,1.02,
Kepler-1327 b,Kepler-1327,5885.00,1.03,1.02,
Kepler-1327 b,Kepler-1327,6143.00,1.12,1.00,
Kepler-1327 b,Kepler-1327,6143.00,1.12,1.00,
Kepler-1327 b,Kepler-1327,5718.08,1.06,1.02,
Kepler-1328 b,Kepler-1328,5576.00,1.29,0.96,
Kepler-1328 b,Kepler-1328,5941.00,0.91,1.00,
Kepler-1328 b,Kepler-1328,5647.55,1.36,1.00,
Kepler-1328 b,Kepler-1328,5780.00,0.99,1.00,
Kepler-1328 b,Kepler-1328,5941.00,0.91,1.00,
Kepler-1328 b,Kepler-1328,5647.55,1.36,1.00,
Kepler-1328 b,Kepler-1328,5597.00,1.32,,
Kepler-1328 b,Kepler-1328,5927.00,0.93,1.01,
Kepler-1328 b,Kepler-1328,5941.00,0.91,1.00,
Kepler-1329 b,Kepler-1329,4442.00,0.65,0.64,
Kepler-1329 b,Kepler-1329,4442.00,0.65,,
Kepler-1329 b,Kepler-1329,4469.00,0.69,0.70,
Kepler-1329 b,Kepler-1329,4469.00,0.69,0.70,
Kepler-1329 b,Kepler-1329,4469.00,0.69,0.70,
Kepler-1329 b,Kepler-1329,4500.00,0.69,0.72,
Kepler-1329 b,Kepler-1329,4442.00,0.65,0.64,
Kepler-1329 b,Kepler-1329,4442.00,0.65,0.64,
Kepler-1329 b,Kepler-1329,4442.00,0.65,0.64,
Kepler-1329 b,Kepler-1329,4445.00,0.59,0.62,
Kepler-133 b,Kepler-133,5611.00,1.40,0.99,
Kepler-133 b,Kepler-133,5600.00,1.34,1.02,
Kepler-133 b,Kepler-133,5736.00,1.43,,
Kepler-133 b,Kepler-133,5588.00,1.50,1.00,
Kepler-133 b,Kepler-133,5734.01,1.63,1.02,
Kepler-133 b,Kepler-133,5730.00,1.32,1.04,
Kepler-133 b,Kepler-133,5734.01,1.63,1.02,
Kepler-133 b,Kepler-133,5734.01,1.63,1.02,
Kepler-133 b,Kepler-133,5588.00,1.50,1.00,
Kepler-133 b,Kepler-133,5712.00,1.64,,
Kepler-133 b,Kepler-133,5588.00,1.50,1.00,
Kepler-133 c,Kepler-133,5712.00,1.64,,
Kepler-133 c,Kepler-133,5611.00,1.40,0.99,
Kepler-133 c,Kepler-133,5734.01,1.63,1.02,
Kepler-133 c,Kepler-133,5736.00,1.43,,
Kepler-133 c,Kepler-133,5588.00,1.50,1.00,
Kepler-133 c,Kepler-133,5600.00,1.34,1.02,
Kepler-133 c,Kepler-133,5588.00,1.50,1.00,
Kepler-133 c,Kepler-133,5734.01,1.63,1.02,
Kepler-133 c,Kepler-133,5730.00,1.32,1.04,
Kepler-133 c,Kepler-133,5734.01,1.63,1.02,
Kepler-133 c,Kepler-133,5588.00,1.50,1.00,
Kepler-1330 b,Kepler-1330,5470.00,1.82,0.96,
Kepler-1330 b,Kepler-1330,5643.00,0.89,0.91,
Kepler-1330 b,Kepler-1330,5480.00,1.17,0.92,
Kepler-1330 b,Kepler-1330,5478.00,1.77,,
Kepler-1330 b,Kepler-1330,5754.00,0.96,1.06,
Kepler-1330 b,Kepler-1330,5470.00,1.82,0.96,
Kepler-1330 b,Kepler-1330,5754.00,0.96,1.06,
Kepler-1330 b,Kepler-1330,5754.00,0.96,1.06,
Kepler-1330 b,Kepler-1330,5470.00,1.82,0.96,
Kepler-1330 b,Kepler-1330,5608.00,0.94,0.97,
Kepler-1331 b,Kepler-1331,4258.00,0.62,0.61,
Kepler-1331 b,Kepler-1331,4258.00,0.62,0.61,
Kepler-1331 b,Kepler-1331,4508.00,0.69,0.72,
Kepler-1331 b,Kepler-1331,4258.00,0.62,0.61,
Kepler-1331 b,Kepler-1331,4258.00,0.62,0.61,
Kepler-1331 b,Kepler-1331,4224.00,0.66,0.66,
Kepler-1331 b,Kepler-1331,4248.00,0.61,,
Kepler-1331 b,Kepler-1331,4246.00,0.55,0.58,
Kepler-1331 b,Kepler-1331,4224.00,0.66,0.66,
Kepler-1332 b,Kepler-1332,5541.94,0.93,0.97,
Kepler-1332 b,Kepler-1332,5642.00,0.84,0.93,
Kepler-1332 b,Kepler-1332,5523.00,0.88,0.91,
Kepler-1332 b,Kepler-1332,5541.94,0.93,0.97,
Kepler-1332 b,Kepler-1332,5578.00,0.76,0.78,
Kepler-1332 b,Kepler-1332,5541.94,0.93,0.97,
Kepler-1332 b,Kepler-1332,5578.00,0.76,0.78,
Kepler-1332 b,Kepler-1332,5581.00,0.93,,
Kepler-1332 b,Kepler-1332,5581.00,0.90,0.95,
Kepler-1332 b,Kepler-1332,5578.00,0.76,0.78,
Kepler-1333 b,Kepler-1333,5488.86,0.89,0.96,
Kepler-1333 b,Kepler-1333,5649.00,0.80,0.87,
Kepler-1333 b,Kepler-1333,5649.00,0.80,0.87,
Kepler-1333 b,Kepler-1333,5649.00,0.80,0.87,
Kepler-1333 b,Kepler-1333,5664.00,0.83,0.94,
Kepler-1333 b,Kepler-1333,5488.86,0.89,0.96,
Kepler-1333 b,Kepler-1333,5628.00,0.92,0.94,
Kepler-1333 b,Kepler-1333,5488.86,0.89,0.96,
Kepler-1333 b,Kepler-1333,5332.00,1.45,0.93,
Kepler-1333 b,Kepler-1333,5319.00,0.94,,
Kepler-1334 b,Kepler-1334,5896.00,0.92,1.01,
Kepler-1334 b,Kepler-1334,5614.00,0.91,0.94,
Kepler-1334 b,Kepler-1334,5674.00,1.07,1.01,
Kepler-1334 b,Kepler-1334,5674.00,1.07,1.01,
Kepler-1334 b,Kepler-1334,5896.00,0.92,1.01,
Kepler-1334 b,Kepler-1334,5896.00,0.92,1.01,
Kepler-1334 b,Kepler-1334,5866.00,0.89,1.00,
Kepler-1334 b,Kepler-1334,5896.00,0.92,1.01,
Kepler-1334 b,Kepler-1334,5674.00,1.07,1.01,
Kepler-1334 b,Kepler-1334,5891.00,1.05,,
Kepler-1335 b,Kepler-1335,5032.00,0.73,,
Kepler-1335 b,Kepler-1335,5032.00,0.82,0.79,
Kepler-1335 b,Kepler-1335,5032.00,0.82,0.79,
Kepler-1335 b,Kepler-1335,5032.00,0.82,0.79,
Kepler-1335 b,Kepler-1335,5032.00,0.82,0.79,
Kepler-1335 b,Kepler-1335,4830.00,0.75,0.78,
Kepler-1335 b,Kepler-1335,4969.00,0.72,0.72,
Kepler-1335 b,Kepler-1335,4830.00,0.75,0.78,
Kepler-1335 b,Kepler-1335,4903.00,0.74,0.77,
Kepler-1336 b,Kepler-1336,5717.00,0.86,0.96,
Kepler-1336 b,Kepler-1336,5449.27,1.82,0.95,
Kepler-1336 b,Kepler-1336,5449.27,1.82,0.95,
Kepler-1336 b,Kepler-1336,5717.00,0.86,0.96,
Kepler-1336 b,Kepler-1336,5717.00,0.86,0.96,
Kepler-1336 b,Kepler-1336,5512.00,1.30,0.94,
Kepler-1336 b,Kepler-1336,5499.00,1.79,,
Kepler-1336 b,Kepler-1336,5416.00,1.76,1.00,
Kepler-1336 b,Kepler-1336,5449.27,1.82,0.95,
Kepler-1336 b,Kepler-1336,5694.00,0.84,0.95,
Kepler-1336 c,Kepler-1336,5717.00,0.86,0.96,
Kepler-1336 c,Kepler-1336,5694.00,0.84,0.95,
Kepler-1336 c,Kepler-1336,5512.00,1.30,0.94,
Kepler-1336 c,Kepler-1336,5717.00,0.86,0.96,
Kepler-1336 c,Kepler-1336,5717.00,0.86,0.96,
Kepler-1336 c,Kepler-1336,5499.00,1.79,,
Kepler-1336 c,Kepler-1336,5449.27,1.82,0.95,
Kepler-1336 c,Kepler-1336,5449.27,1.82,0.95,
Kepler-1336 c,Kepler-1336,5416.00,1.76,1.00,
Kepler-1337 b,Kepler-1337,4583.00,0.69,,
Kepler-1337 b,Kepler-1337,4583.00,0.67,0.67,
Kepler-1337 b,Kepler-1337,4583.00,0.67,0.67,
Kepler-1337 b,Kepler-1337,4523.00,0.67,0.70,
Kepler-1337 b,Kepler-1337,4575.00,0.62,0.64,
Kepler-1337 b,Kepler-1337,4583.00,0.67,0.67,
Kepler-1337 b,Kepler-1337,4583.00,0.67,0.67,
Kepler-1337 b,Kepler-1337,4415.00,0.73,0.69,
Kepler-1337 b,Kepler-1337,4415.00,0.73,0.69,
Kepler-1337 b,Kepler-1337,4415.00,0.73,0.69,
Kepler-1338 b,Kepler-1338,6002.00,1.09,1.01,
Kepler-1338 b,Kepler-1338,5983.00,1.09,1.00,
Kepler-1338 b,Kepler-1338,5874.00,1.30,1.10,
Kepler-1338 b,Kepler-1338,5834.00,1.30,,
Kepler-1338 b,Kepler-1338,5809.00,1.31,1.04,
Kepler-1338 b,Kepler-1338,5909.00,1.05,1.04,
Kepler-1338 b,Kepler-1338,5809.00,1.31,1.04,
Kepler-1338 b,Kepler-1338,6002.00,1.09,1.01,
Kepler-1338 b,Kepler-1338,6002.00,1.09,1.01,
Kepler-1339 b,Kepler-1339,5738.00,1.41,0.94,
Kepler-1339 b,Kepler-1339,5516.00,0.89,0.85,
Kepler-1339 b,Kepler-1339,5874.00,1.26,,
Kepler-1339 b,Kepler-1339,5738.00,1.41,0.94,
Kepler-1339 b,Kepler-1339,5586.00,0.93,0.94,
Kepler-1339 b,Kepler-1339,5590.19,1.32,0.99,
Kepler-1339 b,Kepler-1339,5590.19,1.32,0.99,
Kepler-1339 b,Kepler-1339,5738.00,1.41,0.94,
Kepler-1339 b,Kepler-1339,5779.00,0.97,0.94,
Kepler-134 b,Kepler-134,5936.00,1.03,1.01,
Kepler-134 b,Kepler-134,5819.72,1.05,1.05,
Kepler-134 b,Kepler-134,5983.00,1.18,,
Kepler-134 b,Kepler-134,5819.72,1.05,1.05,
Kepler-134 b,Kepler-134,5983.00,1.07,1.06,
Kepler-134 b,Kepler-134,5819.72,1.05,1.05,
Kepler-134 b,Kepler-134,6068.00,1.53,1.26,
Kepler-134 b,Kepler-134,6068.00,1.53,1.26,
Kepler-134 b,Kepler-134,5923.00,1.05,0.97,
Kepler-134 b,Kepler-134,6068.00,1.53,1.26,
Kepler-134 b,Kepler-134,5918.00,0.98,,
Kepler-134 c,Kepler-134,5923.00,1.05,0.97,
Kepler-134 c,Kepler-134,5819.72,1.05,1.05,
Kepler-134 c,Kepler-134,5983.00,1.07,1.06,
Kepler-134 c,Kepler-134,6068.00,1.53,1.26,
Kepler-134 c,Kepler-134,5819.72,1.05,1.05,
Kepler-134 c,Kepler-134,5936.00,1.03,1.01,
Kepler-134 c,Kepler-134,6068.00,1.53,1.26,
Kepler-134 c,Kepler-134,5819.72,1.05,1.05,
Kepler-134 c,Kepler-134,6068.00,1.53,1.26,
Kepler-134 c,Kepler-134,5918.00,0.98,,
Kepler-134 c,Kepler-134,5983.00,1.18,,
Kepler-1340 b,Kepler-1340,5884.00,1.07,1.07,
Kepler-1340 b,Kepler-1340,6014.00,1.02,1.11,
Kepler-1340 b,Kepler-1340,5931.00,0.91,1.01,
Kepler-1340 b,Kepler-1340,6014.00,1.02,1.11,
Kepler-1340 b,Kepler-1340,5957.00,0.94,1.03,
Kepler-1340 b,Kepler-1340,5957.00,0.94,1.03,
Kepler-1340 b,Kepler-1340,5909.00,1.01,,
Kepler-1340 b,Kepler-1340,6331.00,1.42,1.27,
Kepler-1340 b,Kepler-1340,5957.00,0.94,1.03,
Kepler-1341 b,Kepler-1341,4683.00,0.73,,
Kepler-1341 b,Kepler-1341,4535.00,0.59,0.66,
Kepler-1341 b,Kepler-1341,4511.00,0.79,0.71,
Kepler-1341 b,Kepler-1341,4511.00,0.79,0.71,
Kepler-1341 b,Kepler-1341,4530.00,0.66,0.69,
Kepler-1341 b,Kepler-1341,4523.00,0.66,0.69,
Kepler-1341 b,Kepler-1341,4530.00,0.66,0.69,
Kepler-1341 b,Kepler-1341,4530.00,0.66,0.69,
Kepler-1341 b,Kepler-1341,4662.00,0.72,0.79,
Kepler-1341 b,Kepler-1341,4511.00,0.79,0.71,
Kepler-1342 b,Kepler-1342,5214.00,0.98,0.99,
Kepler-1342 b,Kepler-1342,5417.00,0.90,0.83,
Kepler-1342 b,Kepler-1342,5417.00,0.90,0.83,
Kepler-1342 b,Kepler-1342,5250.00,0.90,0.90,
Kepler-1342 b,Kepler-1342,5527.00,0.90,0.93,
Kepler-1342 b,Kepler-1342,5250.00,0.90,0.90,
Kepler-1342 b,Kepler-1342,5417.00,0.90,0.83,
Kepler-1342 b,Kepler-1342,5417.00,0.84,,
Kepler-1342 b,Kepler-1342,5417.00,0.90,0.83,
Kepler-1343 b,Kepler-1343,6202.00,1.01,1.10,
Kepler-1343 b,Kepler-1343,6198.00,1.00,1.07,
Kepler-1343 b,Kepler-1343,6208.00,1.01,1.07,
Kepler-1343 b,Kepler-1343,6212.00,1.24,,
Kepler-1343 b,Kepler-1343,5749.00,1.26,1.03,
Kepler-1343 b,Kepler-1343,6208.00,1.01,1.07,
Kepler-1343 b,Kepler-1343,6208.00,1.01,1.07,
Kepler-1343 b,Kepler-1343,5749.00,1.26,1.03,
Kepler-1343 b,Kepler-1343,5759.00,0.93,0.95,
Kepler-1344 b,Kepler-1344,5981.00,1.13,1.09,
Kepler-1344 b,Kepler-1344,6237.00,1.12,1.07,
Kepler-1344 b,Kepler-1344,5815.00,1.16,,
Kepler-1344 b,Kepler-1344,6237.00,1.12,1.07,
Kepler-1344 b,Kepler-1344,6237.00,1.12,1.07,
Kepler-1344 b,Kepler-1344,5841.28,1.16,1.05,
Kepler-1344 b,Kepler-1344,5841.28,1.16,1.05,
Kepler-1344 b,Kepler-1344,5841.28,1.16,1.05,
Kepler-1344 b,Kepler-1344,6237.00,1.12,1.07,
Kepler-1344 b,Kepler-1344,5986.00,1.13,1.11,
Kepler-1345 b,Kepler-1345,6774.00,1.46,1.31,
Kepler-1345 b,Kepler-1345,6763.00,1.42,1.24,
Kepler-1345 b,Kepler-1345,6449.00,1.55,1.32,
Kepler-1345 b,Kepler-1345,6763.00,1.42,1.24,
Kepler-1345 b,Kepler-1345,6333.00,1.82,,
Kepler-1345 b,Kepler-1345,6047.83,2.02,1.13,
Kepler-1345 b,Kepler-1345,6763.00,1.42,1.24,
Kepler-1345 b,Kepler-1345,6047.83,2.02,1.13,
Kepler-1345 b,Kepler-1345,6047.83,2.02,1.13,
Kepler-1345 b,Kepler-1345,6763.00,1.42,1.24,
Kepler-1346 b,Kepler-1346,5679.72,1.02,1.01,
Kepler-1346 b,Kepler-1346,6177.00,0.91,0.98,
Kepler-1346 b,Kepler-1346,6177.00,0.91,0.98,
Kepler-1346 b,Kepler-1346,6133.00,1.21,1.14,
Kepler-1346 b,Kepler-1346,5679.72,1.02,1.01,
Kepler-1346 b,Kepler-1346,6186.00,0.90,,
Kepler-1346 b,Kepler-1346,6215.00,1.03,1.11,
Kepler-1346 b,Kepler-1346,6177.00,0.91,0.98,
Kepler-1346 b,Kepler-1346,6177.00,0.91,0.98,
Kepler-1347 b,Kepler-1347,5153.00,0.77,0.76,
Kepler-1347 b,Kepler-1347,5153.00,0.77,0.76,
Kepler-1347 b,Kepler-1347,5170.78,0.80,,
Kepler-1347 b,Kepler-1347,5188.00,0.73,0.81,
Kepler-1347 b,Kepler-1347,5170.78,0.80,,
Kepler-1347 b,Kepler-1347,5153.00,0.77,0.76,
Kepler-1347 b,Kepler-1347,5153.00,0.77,0.76,
Kepler-1347 b,Kepler-1347,5193.00,0.79,0.82,
Kepler-1347 b,Kepler-1347,5170.78,0.80,,
Kepler-1348 b,Kepler-1348,5866.85,1.22,1.06,
Kepler-1348 b,Kepler-1348,6058.00,0.95,1.05,
Kepler-1348 b,Kepler-1348,5977.00,0.80,0.89,
Kepler-1348 b,Kepler-1348,5977.00,0.80,0.89,
Kepler-1348 b,Kepler-1348,5911.00,1.24,,
Kepler-1348 b,Kepler-1348,5866.85,1.22,1.06,
Kepler-1348 b,Kepler-1348,5866.85,1.22,1.06,
Kepler-1348 b,Kepler-1348,5977.00,0.80,0.89,
Kepler-1348 b,Kepler-1348,5912.00,1.09,1.08,
Kepler-1348 b,Kepler-1348,5911.00,1.04,1.04,
Kepler-1349 b,Kepler-1349,5835.47,1.45,1.05,
Kepler-1349 b,Kepler-1349,5835.47,1.45,1.05,
Kepler-1349 b,Kepler-1349,5952.00,1.38,1.17,
Kepler-1349 b,Kepler-1349,5970.00,1.38,,
Kepler-1349 b,Kepler-1349,5998.00,1.01,1.01,
Kepler-1349 b,Kepler-1349,5998.00,1.36,1.14,
Kepler-1349 b,Kepler-1349,6086.00,1.28,1.16,
Kepler-1349 b,Kepler-1349,5998.00,1.36,1.14,
Kepler-1349 b,Kepler-1349,5998.00,1.36,1.14,
